Species,Song.ID,Date..MDY.,Time,Locality,GPS.coordinate.N,GPS.coordinate.W,Elevation..m.,Habitat.Type,X..Canopy.Cover,Dominant.Species,Tree.Size.Class,Understory.code,Est.dist.from.recorder,Background.species,Disturbance.in.recording.,Stimulus,Banded,Recorder.Initials,Notes
Setophaga townsendi,SRF28M03,6/28/2017,9:05,"Grinder Trail, Clinton",51 11.911,121 39.919,1162,Conifer,70,Hybrid Spruce,3,3,15,"RCKI, SWTH",NA,Natural,N,LIMM,NA
Setophaga townsendi,SRF28M04,6/28/2017,11:00,"Grinder Trailhead Rd, Clinton",51 12.167,121 59.981,1156,Mixed Conifer and Hardwood,70,"Trembling Apsen, Douglas Fir",3,3,8,NA,stream,Playback,N,MJO,NA
Setophaga townsendi,SRF29M02,6/29/2017,6:05,"Owl Creek FSR, Pemberton",50 21.793,122 44.424,489,Conifer,80,Douglas Fir,3,3,5,"PISI, BTYW",creek,Playback,Y,MJO,NA
Setophaga townsendi,SRF29M03,6/29/2017,9:35,"Birkenhead FSR, Pemberton",50 27.099,122 41.152,447,Conifer,80,Red Cedar,4,4,13,"WAVI, HAWO","squirrel, traffic",Natural,Y,MJO,NA
Setophaga townsendi,SRF29M04,6/29/2017,11:00,"Sea-to-Sky Trail off Birkenhead River Rd, Pemberton",50 27.396,122 41.702,606,Mixed Conifer and Hardwood,80,Douglas Fir,3,4,10,"SWTH, CAVI, RBNU",NA,Natural,N,LIMM,NA
Setophaga townsendi,SRF29M05,6/29/2017,11:15,"Sea-to-Sky Trail off Birkenhead River Rd, Pemberton",50 27.387,122 41.737,590,Mixed Conifer and Hardwood,80,Douglas Fir,3,4,5,AMRE,helicopter,Natural,N,LIMM,SRF29M04 in background. Buzzy song
Setophaga townsendi,SRF30M01,6/30/2017,7:25,"Shadow Lake Trail, Pemberton",50 13.232,122 53.018,483,Conifer,80,Douglas Fir,3,6,9,"BTYW, WAVI",traffic,N/PB,Y,MJO,NA
Setophaga townsendi,SRF30M02,6/30/2017,9:00,"Shadow Lake Trail, Pemberton",50 12.936,122 53.209,481,Conifer,80,Red Cedar,5,2,10,"SWTH, SOSP",traffic,Playback,Y,MJO,NA
Setophaga townsendi,SRG01M03,7/1/2017,9:08,"High Trail, Brohm Lake Interpretive Forest, Squamish",49 48.840,123 08.333,292,Conifer,80,Western Hemlock,4,5,5,"PAWR, AMRO",NA,N/PB,N,MJO,NA
Setophaga townsendi,SRG02M01,7/2/2017,8:12,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.221,123 07.495,228,Conifer,90,Douglas Fir,5,2,5,"PAWR, SWTH, WETA, HAWO",NA,Natural,N,MJO,NA
Setophaga townsendi,SRG02M02,7/2/2017,8:21,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.162,123 07.499,236,Conifer,95,Douglas Fir,5,4,12,"PAWR, SWTH, WETA, HAWO, BRCR",NA,Natural,N,MJO,NA
Setophaga townsendi,SRG02M03,7/2/2017,8:45,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.064,123 07.426,232,Conifer,95,Red Cedar,5,2,5,NA,NA,Natural,N,MJO,NA
Setophaga townsendi,SRG02M04,7/2/2017,9:43,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.367,123 07.538,252,Conifer,85,Red Cedar,4,3,15-20,NA,NA,Natural,N,LIMM,NA
Setophaga townsendi,SRG02M05,7/2/2017,9:56,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.392,123 07.538,238,Conifer,85,Red Cedar,4,3,15-20,NA,NA,Natural,N,LIMM,NA
Setophaga townsendi,SRG04M01,7/4/2017,8:45,"Bridge Trail, Brohm Lake Interpretive Trail, Squamish",49 48.736,123 07.791,337,Conifer,75,Western Hemlock,3,4,5,DEJU,NA,Playback,Y,MJO,clear song
Setophaga townsendi,SRG04M02,7/4/2017,9:00,"High Trail, Brohm Lake Interpretive Forest, Squamish",49 48.733,123 08.020,305,Conifer,90,Western Hemlock,4,5,5,PAWR,NA,N/PB,Y,MJO,clear song
Setophaga townsendi,SRG04M03,7/4/2017,9:20,"High Trail, Brohm Lake Interpretive Forest, Squamish",49 48.844,123 08.049,360,Conifer,80,Douglas Fir,4,4,15,PSFL,NA,N/PB,Y,MJO,NA
